Wifi_A,eduroam,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
0.44,-69,0.87,0.4,0.5,1.0,0.06,0.5,0.6
0.67,-93,0.9,0.0,0.67,0.86,0.19,0.38,0.6
0.78,-68,0.92,0.8,0.67,0.86,0.31,0.62,0.4
0.0,-92,0.92,0.8,0.67,0.71,0.44,0.25,0.5
0.67,-93,0.92,0.4,0.33,0.86,0.12,0.38,0.6
0.44,-48,0.92,0.0,0.5,0.86,0.06,0.5,0.6
0.33,-93,0.92,0.6,0.67,0.86,0.19,0.38,0.6
0.89,-73,0.87,0.2,0.33,0.86,0.19,0.12,0.5
0.56,-94,0.92,0.4,0.33,0.86,0.25,0.38,0.5
0.33,-92,0.9,0.6,1.0,0.71,0.44,0.38,0.5
0.78,-82,0.87,0.8,0.5,0.0,0.25,0.25,0.7
0.78,-93,0.87,0.6,0.67,0.86,0.19,0.12,0.7
0.44,-94,0.87,0.4,0.67,0.86,0.31,0.5,0.5
0.33,-93,0.92,0.6,0.67,0.86,0.19,0.38,0.6
0.56,-95,0.92,0.6,0.67,0.86,0.06,0.38,0.5
0.78,-69,0.92,0.4,0.5,0.86,0.19,0.62,0.6
0.33,-69,0.92,0.8,0.67,0.86,0.12,0.38,0.5
0.67,-92,0.9,0.4,0.67,0.86,0.19,0.25,0.9
0.56,-93,0.9,0.8,0.67,0.86,0.31,0.75,0.5
0.56,-70,0.95,0.2,0.33,0.86,0.19,0.62,0.5
0.56,-93,0.9,1.0,0.67,1.0,0.38,0.25,0.5
0.33,-68,0.9,0.8,0.67,0.86,0.12,0.5,0.6
0.78,-82,0.87,0.8,0.5,0.0,0.25,0.25,0.7
0.89,-93,0.9,0.4,0.67,0.86,0.31,0.5,0.6
0.67,-72,1.0,0.6,0.67,0.29,0.31,0.0,0.0
0.67,-92,0.92,0.4,0.67,1.0,1.0,0.5,0.5
0.56,-69,0.9,0.8,0.5,0.86,0.5,0.25,0.7
0.33,-68,0.92,0.6,0.67,0.86,0.19,0.38,0.6
0.44,-69,0.87,0.4,0.5,1.0,0.06,0.5,0.6
0.67,-93,0.9,0.0,0.67,0.86,0.19,0.38,0.6
0.56,-70,0.95,0.2,0.33,0.86,0.19,0.62,0.5
0.67,-68,0.92,0.6,0.67,0.86,0.31,1.0,1.0
0.89,-93,0.87,0.2,0.67,0.86,0.25,0.38,0.5
0.67,-93,0.92,0.6,0.67,1.0,0.06,0.62,0.5
0.78,-82,0.87,0.8,0.5,0.0,0.25,0.25,0.7
0.56,-93,0.92,0.2,0.67,0.86,0.06,0.12,0.5
0.56,-94,0.92,0.4,0.33,0.86,0.25,0.38,0.5
0.67,-69,0.92,0.4,0.67,0.86,0.25,0.5,0.6
0.56,-66,0.92,0.6,0.67,0.86,0.06,0.38,0.5
0.89,-93,0.9,0.4,0.67,0.86,0.31,0.5,0.6
0.67,-93,0.92,0.4,0.33,0.86,0.12,0.38,0.6
0.56,-94,0.92,1.0,0.67,1.0,0.38,0.5,0.6
1.0,-78,0.92,0.4,0.5,0.86,0.31,0.38,0.6
0.56,-93,0.9,0.2,0.67,0.86,0.25,0.5,0.6
0.44,-94,0.92,0.8,0.83,0.71,0.31,0.38,0.5
0.33,-89,0.87,0.8,0.33,0.86,0.31,0.5,0.8
0.33,-92,0.9,0.6,1.0,0.71,0.44,0.38,0.5
0.33,-68,0.92,0.6,0.67,0.86,0.19,0.38,0.6
0.56,-93,0.92,0.2,0.67,0.86,0.06,0.12,0.5
0.56,-66,0.92,0.6,0.67,0.86,0.06,0.38,0.5
0.56,-69,0.9,0.0,0.67,0.71,0.19,0.5,0.6
0.56,-94,0.92,1.0,0.67,1.0,0.38,0.5,0.6
0.67,-93,0.92,0.6,0.67,1.0,0.06,0.62,0.5
0.78,-68,0.92,0.6,0.5,0.86,0.19,0.25,0.6
0.56,-93,0.9,1.0,0.67,1.0,0.38,0.25,0.5
0.67,-88,0.92,0.4,0.67,0.86,0.06,0.38,0.3
0.33,-69,0.92,0.8,0.67,0.86,0.12,0.38,0.5
0.56,-95,0.92,0.0,0.67,1.0,0.25,0.5,0.6
0.67,-93,0.92,0.6,0.67,1.0,0.06,0.62,0.5
0.67,-92,0.9,0.4,0.67,0.86,0.19,0.25,0.9
0.67,-72,1.0,0.6,0.67,0.29,0.31,0.0,0.0
0.56,-70,0.95,0.2,0.33,0.86,0.19,0.62,0.5
0.33,-68,0.9,0.8,0.67,0.86,0.12,0.5,0.6
0.56,-93,0.9,0.2,0.67,0.86,0.25,0.5,0.6
0.67,-69,0.92,0.4,0.67,0.86,0.25,0.5,0.6
0.67,-92,0.9,0.4,0.67,0.86,0.19,0.25,0.9
0.56,-94,0.92,0.4,0.67,0.86,0.12,0.38,0.7
0.89,-73,0.87,0.2,0.33,0.86,0.19,0.12,0.5
0.67,-93,0.9,0.0,0.67,0.86,0.19,0.38,0.6
0.56,-66,0.92,0.6,0.67,0.86,0.06,0.38,0.5
0.0,-92,0.92,0.8,0.67,0.71,0.44,0.25,0.5
0.44,-48,0.92,0.0,0.5,0.86,0.06,0.5,0.6
0.67,-68,0.87,0.4,0.0,0.86,0.25,0.25,0.6
0.67,-66,0.92,1.0,0.67,0.86,0.19,0.5,0.8
0.89,-93,0.9,0.4,0.67,0.86,0.31,0.5,0.6
0.22,-67,0.79,0.0,0.67,0.71,0.31,0.62,0.3
0.67,-68,0.87,0.4,0.0,0.86,0.25,0.25,0.6
0.56,-68,0.92,0.2,0.67,0.71,0.19,0.38,0.5
