TimeStampMillis,TimeStampFormatted,Wifi_A,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
"1,69149E+12",(08/08/2023)_16/26/05,-43,-43,-49,-42,-44,-48,-47,-34
"1,69149E+12",(08/08/2023)_16/24/32,-39,-44,-49,-43,-44,-45,-51,-35
"1,69149E+12",(08/08/2023)_16/26/12,-42,-45,-49,-42,-44,-49,-47,-34
"1,69149E+12",(08/08/2023)_16/26/48,-39,-44,-51,-42,-44,-48,-48,-35
"1,69149E+12",(08/08/2023)_16/26/58,-44,-44,-51,-43,-44,-46,-47,-34
"1,69149E+12",(08/08/2023)_16/27/01,-42,-45,-51,-42,-44,-47,-46,-33
"1,69149E+12",(08/08/2023)_16/23/41,-40,-46,-43,-42,-44,-51,-46,-35
"1,69149E+12",(08/08/2023)_16/25/43,-43,-44,-49,-43,-44,-46,-48,-35
"1,69149E+12",(08/08/2023)_16/25/43,-43,-44,-49,-43,-44,-46,-48,-35
"1,69149E+12",(08/08/2023)_16/27/14,-45,-44,-51,-42,-46,-46,-47,-34
"1,69149E+12",(08/08/2023)_16/24/50,-44,-46,-48,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/27/37,-42,-46,-50,-42,-44,-47,-48,-35
"1,69149E+12",(08/08/2023)_16/24/09,-40,-45,-50,-43,-44,-46,-48,-35
"1,69149E+12",(08/08/2023)_16/25/07,-40,-45,-49,-41,-43,-43,-49,-34
"1,69149E+12",(08/08/2023)_16/26/46,-43,-44,-50,-42,-44,-45,-47,-35
"1,69149E+12",(08/08/2023)_16/25/29,-43,-46,-50,-43,-45,-45,-49,-33
"1,69149E+12",(08/08/2023)_16/24/35,-39,-45,-48,-43,-45,-45,-49,-35
"1,69149E+12",(08/08/2023)_16/24/41,-39,-46,-50,-43,-46,-46,-49,-34
"1,69149E+12",(08/08/2023)_16/25/37,-43,-46,-51,-43,-44,-45,-49,-34
"1,69149E+12",(08/08/2023)_16/28/02,-41,-44,-50,-43,-44,-46,-50,-34
"1,69149E+12",(08/08/2023)_16/23/57,-43,-46,-51,-42,-44,-44,-47,-35
"1,69149E+12",(08/08/2023)_16/26/08,-42,-44,-49,-43,-44,-50,-49,-34
"1,69149E+12",(08/08/2023)_16/23/41,-40,-46,-43,-42,-44,-51,-46,-35
"1,69149E+12",(08/08/2023)_16/25/50,-42,-46,-48,-42,-44,-49,-48,-35
"1,69149E+12",(08/08/2023)_16/24/06,-41,-44,-50,-42,-44,-44,-50,-34
"1,69149E+12",(08/08/2023)_16/24/57,-42,-45,-50,-42,-44,-49,-51,-35
"1,69149E+12",(08/08/2023)_16/25/00,-42,-45,-50,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/24/06,-41,-44,-50,-42,-44,-44,-50,-34
"1,69149E+12",(08/08/2023)_16/26/08,-42,-44,-49,-43,-44,-50,-49,-34
"1,69149E+12",(08/08/2023)_16/26/36,-40,-46,-50,-42,-45,-48,-47,-33
"1,69149E+12",(08/08/2023)_16/24/50,-44,-46,-48,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/23/59,-40,-45,-51,-41,-45,-46,-48,-35
"1,69149E+12",(08/08/2023)_16/23/38,-40,-46,-43,-42,-47,-49,-40,-35
"1,69149E+12",(08/08/2023)_16/25/07,-40,-45,-49,-41,-43,-43,-49,-34
"1,69149E+12",(08/08/2023)_16/24/32,-39,-44,-49,-43,-44,-45,-51,-35
"1,69149E+12",(08/08/2023)_16/24/09,-40,-45,-50,-43,-44,-46,-48,-35
"1,69149E+12",(08/08/2023)_16/25/10,-42,-45,-51,-43,-44,-46,-50,-36
"1,69149E+12",(08/08/2023)_16/25/37,-43,-46,-51,-43,-44,-45,-49,-34
"1,69149E+12",(08/08/2023)_16/26/24,-39,-45,-50,-42,-46,-51,-47,-34
"1,69149E+12",(08/08/2023)_16/24/26,-41,-46,-49,-44,-44,-45,-48,-34
"1,69149E+12",(08/08/2023)_16/23/50,-43,-44,-51,-42,-44,-47,-49,-34
"1,69149E+12",(08/08/2023)_16/26/36,-40,-46,-50,-42,-45,-48,-47,-33
"1,69149E+12",(08/08/2023)_16/24/32,-39,-44,-49,-43,-44,-45,-51,-35
"1,69149E+12",(08/08/2023)_16/23/54,-41,-45,-50,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/25/10,-42,-45,-51,-43,-44,-46,-50,-36
"1,69149E+12",(08/08/2023)_16/27/04,-42,-45,-51,-42,-46,-48,-40,-34
"1,69149E+12",(08/08/2023)_16/25/07,-40,-45,-49,-41,-43,-43,-49,-34
"1,69149E+12",(08/08/2023)_16/24/32,-39,-44,-49,-43,-44,-45,-51,-35
"1,69149E+12",(08/08/2023)_16/27/46,-42,-46,-50,-42,-44,-46,-48,-34
"1,69149E+12",(08/08/2023)_16/24/35,-39,-45,-48,-43,-45,-45,-49,-35
"1,69149E+12",(08/08/2023)_16/24/57,-42,-45,-50,-42,-44,-49,-51,-35
"1,69149E+12",(08/08/2023)_16/25/50,-42,-46,-48,-42,-44,-49,-48,-35
"1,69149E+12",(08/08/2023)_16/24/26,-41,-46,-49,-44,-44,-45,-48,-34
"1,69149E+12",(08/08/2023)_16/24/41,-39,-46,-50,-43,-46,-46,-49,-34
"1,69149E+12",(08/08/2023)_16/26/05,-43,-43,-49,-42,-44,-48,-47,-34
"1,69149E+12",(08/08/2023)_16/26/48,-39,-44,-51,-42,-44,-48,-48,-35
"1,69149E+12",(08/08/2023)_16/25/50,-42,-46,-48,-42,-44,-49,-48,-35
"1,69149E+12",(08/08/2023)_16/25/00,-42,-45,-50,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/25/23,-42,-44,-50,-42,-45,-46,-52,-34
"1,69149E+12",(08/08/2023)_16/26/39,-43,-46,-51,-42,-44,-45,-46,-33
"1,69149E+12",(08/08/2023)_16/23/34,-42,-48,-48,-43,-43,-40,-47,-29
"1,69149E+12",(08/08/2023)_16/23/54,-41,-45,-50,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/27/27,-42,-45,-50,-40,-44,-47,-50,-34
"1,69149E+12",(08/08/2023)_16/25/00,-42,-45,-50,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/26/24,-39,-45,-50,-42,-46,-51,-47,-34
"1,69149E+12",(08/08/2023)_16/26/21,-42,-45,-50,-42,-45,-46,-42,-35
"1,69149E+12",(08/08/2023)_16/24/06,-41,-44,-50,-42,-44,-44,-50,-34
"1,69149E+12",(08/08/2023)_16/27/04,-42,-45,-51,-42,-46,-48,-40,-34
"1,69149E+12",(08/08/2023)_16/23/31,-40,-45,-43,-41,-43,-49,-41,-32
"1,69149E+12",(08/08/2023)_16/26/05,-43,-43,-49,-42,-44,-48,-47,-34
"1,69149E+12",(08/08/2023)_16/27/46,-42,-46,-50,-42,-44,-46,-48,-34
"1,69149E+12",(08/08/2023)_16/23/31,-40,-45,-43,-41,-43,-49,-41,-32
"1,69149E+12",(08/08/2023)_16/27/01,-42,-45,-51,-42,-44,-47,-46,-33
"1,69149E+12",(08/08/2023)_16/25/29,-43,-46,-50,-43,-45,-45,-49,-33
"1,69149E+12",(08/08/2023)_16/24/50,-44,-46,-48,-42,-44,-47,-48,-34
"1,69149E+12",(08/08/2023)_16/23/41,-40,-46,-43,-42,-44,-51,-46,-35
"1,69149E+12",(08/08/2023)_16/23/31,-40,-45,-43,-41,-43,-49,-41,-32
"1,69149E+12",(08/08/2023)_16/23/38,-40,-46,-43,-42,-47,-49,-40,-35
"1,69149E+12",(08/08/2023)_16/27/55,-39,-45,-50,-42,-44,-47,-47,-34
"1,69149E+12",(08/08/2023)_16/23/38,-40,-46,-43,-42,-47,-49,-40,-35
"1,69149E+12",(08/08/2023)_16/24/26,-41,-46,-49,-44,-44,-45,-48,-34
"1,69149E+12",(08/08/2023)_16/26/52,-39,-46,-49,-43,-44,-48,-47,-35
"1,69149E+12",(08/08/2023)_16/25/53,-39,-45,-48,-42,-45,-47,-49,-35
"1,69149E+12",(08/08/2023)_16/24/09,-40,-45,-50,-43,-44,-46,-48,-35
"1,69149E+12",(08/08/2023)_16/27/04,-42,-45,-51,-42,-46,-48,-40,-34
"1,69149E+12",(08/08/2023)_16/24/22,-42,-45,-50,-42,-44,-50,-51,-34
"1,69149E+12",(08/08/2023)_16/27/52,-40,-46,-50,-43,-44,-46,-47,-35
"1,69149E+12",(08/08/2023)_16/26/30,-43,-44,-51,-43,-44,-46,-47,-33
"1,69149E+12",(08/08/2023)_16/25/17,-44,-44,-50,-42,-46,-44,-51,-34
"1,69149E+12",(08/08/2023)_16/28/02,-41,-44,-50,-43,-44,-46,-50,-34
"1,69149E+12",(08/08/2023)_16/23/59,-40,-45,-51,-41,-45,-46,-48,-35
"1,69149E+12",(08/08/2023)_16/23/50,-43,-44,-51,-42,-44,-47,-49,-34
"1,69149E+12",(08/08/2023)_16/23/28,-42,-42,-50,-46,-48,-51,-43,-35
"1,69149E+12",(08/08/2023)_16/27/50,-42,-45,-49,-42,-46,-48,-47,-34
"1,69149E+12",(08/08/2023)_16/26/24,-39,-45,-50,-42,-46,-51,-47,-34
