Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
0.33,0.64,0.44,0.4,0.71,0.73,0.2,0.64
0.67,0.45,0.56,0.6,0.57,0.64,0.4,0.64
0.5,0.64,0.56,0.2,0.57,0.82,0.2,0.73
0.67,0.45,0.56,0.4,0.43,0.73,0.6,0.45
0.83,0.64,0.56,0.6,0.43,0.73,0.2,0.73
0.67,0.55,0.56,0.2,0.43,0.73,0.6,0.27
0.67,0.64,0.67,0.2,0.71,0.91,0.4,0.55
0.5,0.45,0.44,0.4,0.43,0.82,0.2,0.45
0.33,0.45,0.56,0.0,0.57,0.82,0.2,0.64
0.67,0.64,0.56,0.4,0.57,0.64,0.4,0.27
0.67,0.73,0.56,0.2,0.71,0.64,0.4,0.45
0.5,0.55,0.44,0.4,0.57,0.73,0.4,0.73
0.83,0.64,0.44,0.6,0.43,0.73,0.0,0.45
0.67,0.64,0.67,0.2,0.71,0.91,0.4,0.55
0.67,0.64,0.56,0.4,0.57,0.91,0.4,0.73
0.67,0.55,0.56,0.4,0.0,0.73,0.4,0.64
0.67,0.64,0.56,0.4,0.57,0.82,0.2,0.27
0.67,0.36,0.56,0.4,0.71,0.73,0.4,0.64
0.5,0.82,0.56,0.4,0.14,0.73,0.2,0.36
0.33,0.45,0.22,0.4,0.57,0.73,1.0,0.55
0.67,0.55,0.44,0.2,0.43,0.91,0.4,0.0
0.0,0.0,0.0,0.2,0.29,0.91,0.8,0.55
0.83,0.45,0.67,0.2,0.57,0.64,0.4,0.64
0.83,0.64,0.44,0.6,0.43,0.73,0.0,0.45
0.83,0.55,0.67,0.2,0.57,0.73,0.6,0.64
0.5,0.45,0.89,0.4,0.43,0.91,0.0,0.55
0.5,0.45,0.56,0.4,0.43,0.82,0.4,0.73
0.67,0.73,0.56,0.2,0.71,0.64,0.4,0.45
0.83,0.45,0.67,0.2,0.57,0.64,0.4,0.64
0.67,0.55,0.56,0.2,0.43,0.73,0.6,0.27
0.5,0.73,0.56,0.2,0.43,0.55,0.2,0.55
0.5,0.55,0.56,0.4,0.57,0.55,0.2,0.36
0.67,0.64,0.56,0.4,0.57,0.91,0.4,0.73
0.67,0.64,0.56,0.4,0.57,0.82,0.2,0.27
0.5,0.45,0.89,0.4,0.43,0.91,0.0,0.55
0.83,0.45,0.56,0.4,1.0,0.64,0.4,0.36
0.5,0.64,0.56,0.2,0.57,0.73,0.4,0.45
0.67,0.64,0.56,0.4,0.57,0.91,0.4,0.73
0.5,0.64,0.56,0.4,0.14,0.73,0.6,0.55
0.67,0.64,0.56,0.2,0.29,0.73,0.2,1.0
0.67,0.64,0.56,0.4,0.57,0.64,0.4,0.27
0.67,0.64,0.56,0.4,0.71,0.64,0.4,0.45
0.5,0.64,0.56,0.4,0.71,0.55,0.2,0.64
0.67,1.0,0.56,0.4,0.14,0.73,0.4,0.55
0.67,0.55,0.56,0.6,0.43,0.64,0.2,0.55
0.5,0.55,0.44,0.6,0.57,0.73,0.4,0.55
0.5,0.73,0.44,0.6,0.29,0.82,0.2,0.55
0.5,0.64,0.56,0.4,0.14,0.73,0.6,0.55
0.83,0.64,0.56,0.6,0.43,0.73,0.2,0.73
0.67,0.64,0.56,0.4,0.57,0.82,0.2,0.27
1.0,0.73,0.89,1.0,0.29,0.82,0.6,0.18
0.67,1.0,0.56,0.4,0.14,0.73,0.4,0.55
0.33,0.45,0.56,0.0,0.57,0.82,0.2,0.64
0.83,0.45,0.56,0.4,0.86,0.64,0.4,0.73
0.83,0.55,0.56,0.4,0.57,0.73,0.0,0.45
0.5,0.73,0.56,0.2,0.43,0.55,0.2,0.55
0.33,0.64,0.89,0.6,0.29,0.82,0.2,0.45
0.67,0.55,0.56,0.4,0.57,0.73,0.4,0.73
0.67,0.55,0.56,0.4,0.0,0.73,0.4,0.64
0.5,0.64,0.56,0.2,0.57,0.82,0.2,0.73
0.67,0.64,0.67,0.2,0.71,0.91,0.4,0.55
0.83,0.45,0.56,0.4,0.86,0.64,0.4,0.73
0.83,0.45,0.56,0.4,0.86,0.64,0.6,0.45
0.33,0.55,0.33,0.4,0.43,0.73,0.4,0.55
0.67,0.55,0.56,0.2,0.43,0.73,0.6,0.27
0.67,0.55,0.44,0.2,0.43,0.91,0.4,0.0
0.67,0.45,0.56,0.6,0.57,0.64,0.4,0.64
0.5,0.73,0.44,0.6,0.29,0.82,0.2,0.55
0.83,0.55,0.56,0.6,0.43,1.0,0.4,0.64
1.0,0.55,0.67,0.4,0.57,0.64,0.6,0.64
