TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
"1,69148E+12";(08/08/2023)_15/48/18;-49;-50;-53;-47;-31;-44;-38;-28
"1,69148E+12";(08/08/2023)_15/48/25;-49;-49;-53;-49;-31;-45;-38;-29
"1,69148E+12";(08/08/2023)_15/48/28;-49;-50;-52;-49;-30;-48;-38;-29
"1,69148E+12";(08/08/2023)_15/48/32;-49;-50;-52;-48;-30;-46;-38;-30
"1,69148E+12";(08/08/2023)_15/48/35;-49;-49;-53;-49;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/48/44;-49;-61;-52;-49;-31;-47;-39;-27
"1,69148E+12";(08/08/2023)_15/48/47;-49;-45;-53;-49;-31;-45;-39;-31
"1,69148E+12";(08/08/2023)_15/48/53;-50;-60;-53;-49;-30;-45;-39;-28
"1,69148E+12";(08/08/2023)_15/48/56;-49;-51;-53;-49;-31;-46;-39;-28
"1,69148E+12";(08/08/2023)_15/48/59;-49;-51;-52;-49;-31;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/49/02;-50;-52;-53;-49;-31;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/49/09;-49;-51;-52;-49;-29;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/49/12;-49;-51;-52;-49;-30;-48;-39;-29
"1,69148E+12";(08/08/2023)_15/49/15;-49;-52;-53;-49;-32;-44;-39;-30
"1,69148E+12";(08/08/2023)_15/49/24;-50;-51;-52;-49;-26;-46;-39;-27
"1,69148E+12";(08/08/2023)_15/49/28;-48;-52;-51;-49;-31;-43;-39;-30
"1,69148E+12";(08/08/2023)_15/49/32;-48;-49;-52;-49;-31;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/49/37;-49;-48;-52;-49;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/49/41;-49;-47;-52;-49;-30;-48;-38;-28
"1,69148E+12";(08/08/2023)_15/49/43;-49;-52;-51;-75;-32;-48;-39;-30
"1,69148E+12";(08/08/2023)_15/49/47;-48;-51;-53;-49;-30;-44;-38;-30
"1,69148E+12";(08/08/2023)_15/49/50;-48;-51;-52;-46;-31;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/49/53;-60;-41;-56;-49;-30;-43;-39;-29
"1,69148E+12";(08/08/2023)_15/49/56;-50;-44;-51;-50;-31;-44;-39;-30
"1,69148E+12";(08/08/2023)_15/50/02;-59;-45;-52;-51;-30;-51;-38;-33
"1,69148E+12";(08/08/2023)_15/50/05;-51;-44;-52;-52;-28;-44;-34;-28
"1,69148E+12";(08/08/2023)_15/50/08;-50;-46;-52;-50;-31;-45;-41;-29
"1,69148E+12";(08/08/2023)_15/50/12;-49;-49;-52;-49;-30;-47;-37;-29
"1,69148E+12";(08/08/2023)_15/45/58;-49;-49;-53;-51;-31;-50;-40;-30
"1,69148E+12";(08/08/2023)_15/46/01;-52;-49;-53;-49;-31;-57;-38;-28
"1,69148E+12";(08/08/2023)_15/46/04;-53;-42;-54;-44;-31;-45;-39;-32
"1,69148E+12";(08/08/2023)_15/46/16;-52;-44;-52;-50;-32;-46;-37;-28
"1,69148E+12";(08/08/2023)_15/46/20;-47;-49;-51;-47;-31;-58;-37;-29
"1,69148E+12";(08/08/2023)_15/46/22;-52;-43;-51;-49;-32;-37;-38;-29
"1,69148E+12";(08/08/2023)_15/46/25;-48;-49;-51;-49;-30;-45;-38;-29
"1,69148E+12";(08/08/2023)_15/46/31;-48;-45;-52;-48;-31;-44;-38;-30
"1,69148E+12";(08/08/2023)_15/46/37;-48;-48;-51;-48;-30;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/46/40;-48;-49;-53;-49;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/46/46;-50;-48;-52;-48;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/46/49;-50;-51;-52;-49;-28;-45;-38;-30
"1,69148E+12";(08/08/2023)_15/46/52;-50;-55;-53;-49;-31;-45;-39;-28
"1,69148E+12";(08/08/2023)_15/46/55;-49;-52;-53;-48;-30;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/46/59;-49;-51;-51;-48;-32;-45;-37;-28
"1,69148E+12";(08/08/2023)_15/47/01;-50;-53;-52;-47;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/07;-49;-50;-53;-53;-32;-45;-39;-31
"1,69148E+12";(08/08/2023)_15/47/14;-48;-51;-53;-48;-32;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/47/19;-49;-50;-52;-49;-30;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/47/23;-49;-50;-52;-49;-32;-45;-41;-29
"1,69148E+12";(08/08/2023)_15/47/26;-49;-50;-52;-48;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/28;-49;-52;-53;-49;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/32;-50;-47;-54;-49;-30;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/47/35;-50;-60;-52;-49;-30;-47;-39;-30
"1,69148E+12";(08/08/2023)_15/47/40;-49;-49;-52;-49;-32;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/47/43;-49;-50;-53;-49;-31;-47;-38;-31
"1,69148E+12";(08/08/2023)_15/47/47;-49;-50;-53;-48;-29;-44;-39;-31
"1,69148E+12";(08/08/2023)_15/47/53;-50;-51;-53;-48;-30;-46;-38;-29
"1,69148E+12";(08/08/2023)_15/47/56;-48;-50;-52;-49;-30;-48;-39;-29
"1,69148E+12";(08/08/2023)_15/48/03;-49;-57;-53;-49;-31;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/48/05;-49;-48;-53;-49;-33;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/48/12;-49;-50;-53;-49;-31;-44;-39;-31
"1,69148E+12";(08/08/2023)_15/48/18;-49;-50;-53;-47;-31;-44;-38;-28
"1,69148E+12";(08/08/2023)_15/48/25;-49;-49;-53;-49;-31;-45;-38;-29
"1,69148E+12";(08/08/2023)_15/48/28;-49;-50;-52;-49;-30;-48;-38;-29
"1,69148E+12";(08/08/2023)_15/48/32;-49;-50;-52;-48;-30;-46;-38;-30
"1,69148E+12";(08/08/2023)_15/48/35;-49;-49;-53;-49;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/48/44;-49;-61;-52;-49;-31;-47;-39;-27
"1,69148E+12";(08/08/2023)_15/48/47;-49;-45;-53;-49;-31;-45;-39;-31
"1,69148E+12";(08/08/2023)_15/48/53;-50;-60;-53;-49;-30;-45;-39;-28
"1,69148E+12";(08/08/2023)_15/48/56;-49;-51;-53;-49;-31;-46;-39;-28
"1,69148E+12";(08/08/2023)_15/48/59;-49;-51;-52;-49;-31;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/49/02;-50;-52;-53;-49;-31;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/49/09;-49;-51;-52;-49;-29;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/49/12;-49;-51;-52;-49;-30;-48;-39;-29
"1,69148E+12";(08/08/2023)_15/49/15;-49;-52;-53;-49;-32;-44;-39;-30
"1,69148E+12";(08/08/2023)_15/49/24;-50;-51;-52;-49;-26;-46;-39;-27
"1,69148E+12";(08/08/2023)_15/49/28;-48;-52;-51;-49;-31;-43;-39;-30
"1,69148E+12";(08/08/2023)_15/49/32;-48;-49;-52;-49;-31;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/49/37;-49;-48;-52;-49;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/49/41;-49;-47;-52;-49;-30;-48;-38;-28
"1,69148E+12";(08/08/2023)_15/49/43;-49;-52;-51;-75;-32;-48;-39;-30
"1,69148E+12";(08/08/2023)_15/49/47;-48;-51;-53;-49;-30;-44;-38;-30
"1,69148E+12";(08/08/2023)_15/49/50;-48;-51;-52;-46;-31;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/49/53;-60;-41;-56;-49;-30;-43;-39;-29
"1,69148E+12";(08/08/2023)_15/49/56;-50;-44;-51;-50;-31;-44;-39;-30
"1,69148E+12";(08/08/2023)_15/50/02;-59;-45;-52;-51;-30;-51;-38;-33
"1,69148E+12";(08/08/2023)_15/50/05;-51;-44;-52;-52;-28;-44;-34;-28
"1,69148E+12";(08/08/2023)_15/50/08;-50;-46;-52;-50;-31;-45;-41;-29
"1,69148E+12";(08/08/2023)_15/50/12;-49;-49;-52;-49;-30;-47;-37;-29
"1,69148E+12";(08/08/2023)_15/45/58;-49;-49;-53;-51;-31;-50;-40;-30
"1,69148E+12";(08/08/2023)_15/46/01;-52;-49;-53;-49;-31;-57;-38;-28
"1,69148E+12";(08/08/2023)_15/46/04;-53;-42;-54;-44;-31;-45;-39;-32
"1,69148E+12";(08/08/2023)_15/46/16;-52;-44;-52;-50;-32;-46;-37;-28
"1,69148E+12";(08/08/2023)_15/46/20;-47;-49;-51;-47;-31;-58;-37;-29
"1,69148E+12";(08/08/2023)_15/46/22;-52;-43;-51;-49;-32;-37;-38;-29
"1,69148E+12";(08/08/2023)_15/46/25;-48;-49;-51;-49;-30;-45;-38;-29
"1,69148E+12";(08/08/2023)_15/46/31;-48;-45;-52;-48;-31;-44;-38;-30
"1,69148E+12";(08/08/2023)_15/46/37;-48;-48;-51;-48;-30;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/46/40;-48;-49;-53;-49;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/46/46;-50;-48;-52;-48;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/46/49;-50;-51;-52;-49;-28;-45;-38;-30
"1,69148E+12";(08/08/2023)_15/46/52;-50;-55;-53;-49;-31;-45;-39;-28
"1,69148E+12";(08/08/2023)_15/46/55;-49;-52;-53;-48;-30;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/46/59;-49;-51;-51;-48;-32;-45;-37;-28
"1,69148E+12";(08/08/2023)_15/47/01;-50;-53;-52;-47;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/07;-49;-50;-53;-53;-32;-45;-39;-31
"1,69148E+12";(08/08/2023)_15/47/14;-48;-51;-53;-48;-32;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/47/19;-49;-50;-52;-49;-30;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/47/23;-49;-50;-52;-49;-32;-45;-41;-29
"1,69148E+12";(08/08/2023)_15/47/26;-49;-50;-52;-48;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/28;-49;-52;-53;-49;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/32;-50;-47;-54;-49;-30;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/47/35;-50;-60;-52;-49;-30;-47;-39;-30
"1,69148E+12";(08/08/2023)_15/47/40;-49;-49;-52;-49;-32;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/47/43;-49;-50;-53;-49;-31;-47;-38;-31
"1,69148E+12";(08/08/2023)_15/47/47;-49;-50;-53;-48;-29;-44;-39;-31
"1,69148E+12";(08/08/2023)_15/47/53;-50;-51;-53;-48;-30;-46;-38;-29
"1,69148E+12";(08/08/2023)_15/47/56;-48;-50;-52;-49;-30;-48;-39;-29
"1,69148E+12";(08/08/2023)_15/48/03;-49;-57;-53;-49;-31;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/48/05;-49;-48;-53;-49;-33;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/48/12;-49;-50;-53;-49;-31;-44;-39;-31
"1,69148E+12";(08/08/2023)_15/48/18;-49;-50;-53;-47;-31;-44;-38;-28
"1,69148E+12";(08/08/2023)_15/48/25;-49;-49;-53;-49;-31;-45;-38;-29
"1,69148E+12";(08/08/2023)_15/48/28;-49;-50;-52;-49;-30;-48;-38;-29
"1,69148E+12";(08/08/2023)_15/48/32;-49;-50;-52;-48;-30;-46;-38;-30
"1,69148E+12";(08/08/2023)_15/48/35;-49;-49;-53;-49;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/48/44;-49;-61;-52;-49;-31;-47;-39;-27
"1,69148E+12";(08/08/2023)_15/48/47;-49;-45;-53;-49;-31;-45;-39;-31
"1,69148E+12";(08/08/2023)_15/48/53;-50;-60;-53;-49;-30;-45;-39;-28
"1,69148E+12";(08/08/2023)_15/48/56;-49;-51;-53;-49;-31;-46;-39;-28
"1,69148E+12";(08/08/2023)_15/48/59;-49;-51;-52;-49;-31;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/49/02;-50;-52;-53;-49;-31;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/49/09;-49;-51;-52;-49;-29;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/49/12;-49;-51;-52;-49;-30;-48;-39;-29
"1,69148E+12";(08/08/2023)_15/49/15;-49;-52;-53;-49;-32;-44;-39;-30
"1,69148E+12";(08/08/2023)_15/49/24;-50;-51;-52;-49;-26;-46;-39;-27
"1,69148E+12";(08/08/2023)_15/49/28;-48;-52;-51;-49;-31;-43;-39;-30
"1,69148E+12";(08/08/2023)_15/49/32;-48;-49;-52;-49;-31;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/49/37;-49;-48;-52;-49;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/49/41;-49;-47;-52;-49;-30;-48;-38;-28
"1,69148E+12";(08/08/2023)_15/49/43;-49;-52;-51;-75;-32;-48;-39;-30
"1,69148E+12";(08/08/2023)_15/49/47;-48;-51;-53;-49;-30;-44;-38;-30
"1,69148E+12";(08/08/2023)_15/49/50;-48;-51;-52;-46;-31;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/49/53;-60;-41;-56;-49;-30;-43;-39;-29
"1,69148E+12";(08/08/2023)_15/49/56;-50;-44;-51;-50;-31;-44;-39;-30
"1,69148E+12";(08/08/2023)_15/50/02;-59;-45;-52;-51;-30;-51;-38;-33
"1,69148E+12";(08/08/2023)_15/50/05;-51;-44;-52;-52;-28;-44;-34;-28
"1,69148E+12";(08/08/2023)_15/50/08;-50;-46;-52;-50;-31;-45;-41;-29
"1,69148E+12";(08/08/2023)_15/50/12;-49;-49;-52;-49;-30;-47;-37;-29
"1,69148E+12";(08/08/2023)_15/45/58;-49;-49;-53;-51;-31;-50;-40;-30
"1,69148E+12";(08/08/2023)_15/46/01;-52;-49;-53;-49;-31;-57;-38;-28
"1,69148E+12";(08/08/2023)_15/46/04;-53;-42;-54;-44;-31;-45;-39;-32
"1,69148E+12";(08/08/2023)_15/46/16;-52;-44;-52;-50;-32;-46;-37;-28
"1,69148E+12";(08/08/2023)_15/46/20;-47;-49;-51;-47;-31;-58;-37;-29
"1,69148E+12";(08/08/2023)_15/46/22;-52;-43;-51;-49;-32;-37;-38;-29
"1,69148E+12";(08/08/2023)_15/46/25;-48;-49;-51;-49;-30;-45;-38;-29
"1,69148E+12";(08/08/2023)_15/46/31;-48;-45;-52;-48;-31;-44;-38;-30
"1,69148E+12";(08/08/2023)_15/46/37;-48;-48;-51;-48;-30;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/46/40;-48;-49;-53;-49;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/46/46;-50;-48;-52;-48;-32;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/46/49;-50;-51;-52;-49;-28;-45;-38;-30
"1,69148E+12";(08/08/2023)_15/46/52;-50;-55;-53;-49;-31;-45;-39;-28
"1,69148E+12";(08/08/2023)_15/46/55;-49;-52;-53;-48;-30;-45;-39;-30
"1,69148E+12";(08/08/2023)_15/46/59;-49;-51;-51;-48;-32;-45;-37;-28
"1,69148E+12";(08/08/2023)_15/47/01;-50;-53;-52;-47;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/07;-49;-50;-53;-53;-32;-45;-39;-31
"1,69148E+12";(08/08/2023)_15/47/14;-48;-51;-53;-48;-32;-45;-39;-29
"1,69148E+12";(08/08/2023)_15/47/19;-49;-50;-52;-49;-30;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/47/23;-49;-50;-52;-49;-32;-45;-41;-29
"1,69148E+12";(08/08/2023)_15/47/26;-49;-50;-52;-48;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/28;-49;-52;-53;-49;-31;-44;-38;-29
"1,69148E+12";(08/08/2023)_15/47/32;-50;-47;-54;-49;-30;-44;-39;-29
"1,69148E+12";(08/08/2023)_15/47/35;-50;-60;-52;-49;-30;-47;-39;-30
"1,69148E+12";(08/08/2023)_15/47/40;-49;-49;-52;-49;-32;-47;-39;-29
"1,69148E+12";(08/08/2023)_15/47/43;-49;-50;-53;-49;-31;-47;-38;-31
"1,69148E+12";(08/08/2023)_15/47/47;-49;-50;-53;-48;-29;-44;-39;-31
"1,69148E+12";(08/08/2023)_15/47/53;-50;-51;-53;-48;-30;-46;-38;-29
"1,69148E+12";(08/08/2023)_15/47/56;-48;-50;-52;-49;-30;-48;-39;-29
"1,69148E+12";(08/08/2023)_15/48/03;-49;-57;-53;-49;-31;-45;-39;-30
