TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
"1,69148E+12";(08/08/2023)_14/00/01;-57;-43;-57;-38;-36;-46;-41;-42
"1,69148E+12";(08/08/2023)_14/00/04;-58;-42;-57;-38;-34;-48;-40;-42
"1,69148E+12";(08/08/2023)_14/00/07;-57;-38;-57;-38;-37;-47;-40;-43
"1,69148E+12";(08/08/2023)_14/00/10;-58;-37;-54;-38;-34;-47;-41;-39
"1,69148E+12";(08/08/2023)_14/00/13;-56;-42;-55;-38;-36;-47;-41;-43
"1,69148E+12";(08/08/2023)_14/00/17;-56;-41;-56;-38;-37;-46;-41;-41
"1,69148E+12";(08/08/2023)_14/00/19;-56;-41;-56;-38;-36;-46;-40;-43
"1,69148E+12";(08/08/2023)_14/00/23;-56;-41;-57;-39;-37;-46;-40;-42
"1,69148E+12";(08/08/2023)_14/00/26;-58;-41;-57;-39;-36;-46;-41;-41
"1,69148E+12";(08/08/2023)_14/00/29;-56;-42;-54;-39;-35;-47;-41;-39
"1,69148E+12";(08/08/2023)_14/00/32;-56;-41;-56;-38;-36;-50;-40;-43
"1,69148E+12";(08/08/2023)_14/00/35;-55;-42;-54;-38;-33;-46;-41;-43
"1,69148E+12";(08/08/2023)_14/00/38;-57;-40;-55;-39;-36;-47;-41;-40
"1,69148E+12";(08/08/2023)_14/00/47;-58;-43;-55;-39;-36;-45;-41;-40
"1,69148E+12";(08/08/2023)_14/00/53;-56;-40;-58;-39;-37;-47;-41;-42
"1,69148E+12";(08/08/2023)_14/00/57;-57;-42;-54;-39;-36;-46;-41;-43
"1,69148E+12";(08/08/2023)_14/01/10;-60;-41;-57;-39;-35;-49;-41;-41
"1,69148E+12";(08/08/2023)_14/01/16;-58;-41;-55;-38;-36;-47;-40;-39
"1,69148E+12";(08/08/2023)_14/01/19;-59;-42;-53;-38;-36;-46;-41;-42
"1,69148E+12";(08/08/2023)_14/01/26;-58;-42;-57;-38;-37;-49;-41;-42
"1,69148E+12";(08/08/2023)_14/01/29;-59;-41;-55;-38;-34;-47;-41;-40
"1,69148E+12";(08/08/2023)_14/01/35;-58;-41;-51;-39;-36;-44;-41;-44
"1,69148E+12";(08/08/2023)_14/01/38;-54;-40;-58;-39;-35;-52;-41;-41
"1,69148E+12";(08/08/2023)_14/01/41;-57;-39;-61;-38;-34;-50;-40;-40
"1,69148E+12";(08/08/2023)_14/01/54;-57;-43;-55;-39;-38;-49;-41;-40
"1,69148E+12";(08/08/2023)_14/01/57;-55;-41;-55;-38;-35;-47;-41;-39
"1,69148E+12";(08/08/2023)_14/02/00;-58;-40;-57;-39;-35;-50;-41;-42
"1,69148E+12";(08/08/2023)_14/02/04;-56;-39;-55;-39;-34;-48;-41;-43
"1,69148E+12";(08/08/2023)_14/02/10;-60;-41;-56;-38;-35;-47;-40;-41
"1,69148E+12";(08/08/2023)_14/02/18;-61;-41;-55;-38;-37;-47;-41;-42
"1,69148E+12";(08/08/2023)_14/02/22;-57;-41;-55;-39;-35;-47;-41;-40
"1,69148E+12";(08/08/2023)_14/02/33;-57;-41;-57;-39;-33;-47;-41;-43
"1,69148E+12";(08/08/2023)_14/02/39;-56;-41;-61;-38;-36;-51;-41;-42
"1,69148E+12";(08/08/2023)_14/02/42;-56;-42;-54;-39;-35;-53;-40;-39
"1,69148E+12";(08/08/2023)_14/02/48;-52;-43;-55;-37;-35;-38;-39;-42
"1,69148E+12";(08/08/2023)_14/02/54;-55;-41;-52;-39;-37;-45;-40;-40
"1,69148E+12";(08/08/2023)_14/03/03;-61;-41;-53;-38;-42;-46;-40;-41
"1,69148E+12";(08/08/2023)_13/58/15;-58;-40;-54;-40;-36;-50;-36;-44
"1,69148E+12";(08/08/2023)_13/58/18;-54;-44;-47;-37;-37;-46;-41;-41
"1,69148E+12";(08/08/2023)_13/58/21;-48;-39;-51;-40;-32;-46;-39;-47
"1,69148E+12";(08/08/2023)_13/58/27;-53;-39;-52;-35;-41;-46;-40;-42
"1,69148E+12";(08/08/2023)_13/58/30;-55;-40;-55;-37;-34;-44;-42;-46
"1,69148E+12";(08/08/2023)_13/58/39;-59;-38;-54;-38;-35;-41;-40;-44
"1,69148E+12";(08/08/2023)_13/58/42;-54;-36;-50;-37;-37;-43;-37;-43
"1,69148E+12";(08/08/2023)_13/58/51;-56;-38;-54;-39;-34;-45;-48;-46
"1,69148E+12";(08/08/2023)_13/58/54;-80;-38;-54;-38;-34;-46;-40;-45
"1,69148E+12";(08/08/2023)_13/58/57;-59;-40;-55;-38;-37;-47;-41;-41
"1,69148E+12";(08/08/2023)_13/59/03;-59;-42;-57;-38;-35;-46;-41;-66
"1,69148E+12";(08/08/2023)_13/59/07;-55;-42;-56;-38;-36;-46;-40;-45
"1,69148E+12";(08/08/2023)_13/59/09;-55;-41;-54;-38;-37;-47;-40;-41
"1,69148E+12";(08/08/2023)_13/59/12;-58;-42;-55;-39;-35;-48;-41;-42
"1,69148E+12";(08/08/2023)_13/59/15;-57;-41;-58;-38;-36;-48;-41;-42
"1,69148E+12";(08/08/2023)_13/59/24;-56;-40;-55;-39;-36;-47;-40;-41
"1,69148E+12";(08/08/2023)_13/59/30;-58;-40;-55;-39;-35;-46;-40;-40
"1,69148E+12";(08/08/2023)_13/59/33;-58;-40;-56;-38;-36;-47;-40;-35
"1,69148E+12";(08/08/2023)_13/59/40;-59;-42;-55;-39;-35;-46;-40;-43
"1,69148E+12";(08/08/2023)_13/59/44;-59;-40;-54;-38;-35;-46;-40;-42
"1,69148E+12";(08/08/2023)_13/59/46;-58;-41;-54;-38;-32;-48;-41;-43
"1,69148E+12";(08/08/2023)_13/59/53;-56;-41;-55;-38;-36;-46;-41;-43
"1,69148E+12";(08/08/2023)_13/59/55;-57;-42;-56;-38;-36;-48;-41;-40
"1,69148E+12";(08/08/2023)_14/00/01;-57;-43;-57;-38;-36;-46;-41;-42
"1,69148E+12";(08/08/2023)_14/00/04;-58;-42;-57;-38;-34;-48;-40;-42
"1,69148E+12";(08/08/2023)_14/00/07;-57;-38;-57;-38;-37;-47;-40;-43
"1,69148E+12";(08/08/2023)_14/00/10;-58;-37;-54;-38;-34;-47;-41;-39
"1,69148E+12";(08/08/2023)_14/00/13;-56;-42;-55;-38;-36;-47;-41;-43
"1,69148E+12";(08/08/2023)_14/00/17;-56;-41;-56;-38;-37;-46;-41;-41
"1,69148E+12";(08/08/2023)_14/00/19;-56;-41;-56;-38;-36;-46;-40;-43
