TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_14/09/54,-50,-54,-52,-41,-28,-38,-41,-44
"1,69148E+12",(08/08/2023)_14/06/44,-51,-51,-51,-52,-25,-39,-46,-40
"1,69148E+12",(08/08/2023)_14/09/42,-50,-53,-47,-52,-23,-38,-41,-44
"1,69148E+12",(08/08/2023)_14/08/26,-51,-50,-50,-50,-24,-40,-47,-43
"1,69148E+12",(08/08/2023)_14/07/40,-50,-49,-51,-50,-25,-40,-46,-41
"1,69148E+12",(08/08/2023)_14/09/42,-50,-53,-47,-52,-23,-38,-41,-44
"1,69148E+12",(08/08/2023)_14/08/53,-51,-49,-51,-50,-25,-39,-47,-41
"1,69148E+12",(08/08/2023)_14/09/54,-50,-54,-52,-41,-28,-38,-41,-44
"1,69148E+12",(08/08/2023)_14/06/41,-50,-51,-51,-52,-26,-39,-45,-43
"1,69148E+12",(08/08/2023)_14/06/47,-51,-51,-51,-52,-25,-39,-48,-42
"1,69148E+12",(08/08/2023)_14/07/24,-50,-50,-51,-50,-25,-40,-46,-40
"1,69148E+12",(08/08/2023)_14/06/35,-50,-49,-49,-52,-25,-39,-45,-42
"1,69148E+12",(08/08/2023)_14/06/12,-50,-50,-50,-49,-23,-39,-46,-40
"1,69148E+12",(08/08/2023)_14/08/38,-51,-51,-52,-50,-26,-40,-47,-42
"1,69148E+12",(08/08/2023)_14/06/24,-51,-60,-51,-52,-24,-39,-46,-43
"1,69148E+12",(08/08/2023)_14/05/51,-52,-52,-50,-52,-25,-40,-42,-40
"1,69148E+12",(08/08/2023)_14/09/23,-52,-50,-54,-48,-25,-40,-45,-44
"1,69148E+12",(08/08/2023)_14/06/39,-50,-49,-50,-51,-24,-40,-47,-42
"1,69148E+12",(08/08/2023)_14/06/44,-51,-51,-51,-52,-25,-39,-46,-40
"1,69148E+12",(08/08/2023)_14/06/03,-52,-51,-45,-53,-27,-38,-46,-44
"1,69148E+12",(08/08/2023)_14/07/24,-50,-50,-51,-50,-25,-40,-46,-40
"1,69148E+12",(08/08/2023)_14/05/54,-47,-49,-48,-49,-26,-39,-43,-42
"1,69148E+12",(08/08/2023)_14/07/02,-51,-50,-51,-50,-26,-39,-46,-41
"1,69148E+12",(08/08/2023)_14/06/03,-52,-51,-45,-53,-27,-38,-46,-44
"1,69148E+12",(08/08/2023)_14/09/57,-57,-52,-50,-40,-25,-39,-45,-43
"1,69148E+12",(08/08/2023)_14/08/11,-51,-51,-52,-49,-25,-39,-47,-41
"1,69148E+12",(08/08/2023)_14/07/22,-50,-49,-51,-50,-25,-40,-45,-40
"1,69148E+12",(08/08/2023)_14/06/59,-50,-50,-51,-50,-24,-39,-46,-43
"1,69148E+12",(08/08/2023)_14/07/40,-50,-49,-51,-50,-25,-40,-46,-41
"1,69148E+12",(08/08/2023)_14/08/44,-51,-49,-52,-49,-25,-39,-47,-41
"1,69148E+12",(08/08/2023)_14/06/53,-50,-53,-50,-50,-25,-44,-46,-40
"1,69148E+12",(08/08/2023)_14/08/50,-50,-49,-51,-49,-25,-40,-47,-44
"1,69148E+12",(08/08/2023)_14/09/03,-50,-48,-51,-50,-25,-40,-77,-43
"1,69148E+12",(08/08/2023)_14/09/05,-51,-49,-51,-50,-26,-40,-46,-41
"1,69148E+12",(08/08/2023)_14/08/50,-50,-49,-51,-49,-25,-40,-47,-44
"1,69148E+12",(08/08/2023)_14/07/05,-51,-51,-51,-49,-26,-39,-46,-41
"1,69148E+12",(08/08/2023)_14/07/27,-50,-49,-49,-49,-26,-41,-47,-43
"1,69148E+12",(08/08/2023)_14/08/41,-50,-50,-51,-50,-25,-40,-47,-40
"1,69148E+12",(08/08/2023)_14/09/03,-50,-48,-51,-50,-25,-40,-77,-43
"1,69148E+12",(08/08/2023)_14/09/57,-57,-52,-50,-40,-25,-39,-45,-43
"1,69148E+12",(08/08/2023)_14/06/19,-50,-52,-51,-51,-26,-39,-45,-39
"1,69148E+12",(08/08/2023)_14/07/31,-50,-49,-51,-50,-26,-39,-47,-39
"1,69148E+12",(08/08/2023)_14/08/29,-50,-51,-51,-50,-25,-39,-48,-44
"1,69148E+12",(08/08/2023)_14/09/38,-49,-47,-58,-47,-26,-38,-40,-41
"1,69148E+12",(08/08/2023)_14/07/33,-51,-54,-51,-50,-26,-38,-46,-40
"1,69148E+12",(08/08/2023)_14/06/44,-51,-51,-51,-52,-25,-39,-46,-40
"1,69148E+12",(08/08/2023)_14/07/33,-51,-54,-51,-50,-26,-38,-46,-40
"1,69148E+12",(08/08/2023)_14/08/53,-51,-49,-51,-50,-25,-39,-47,-41
"1,69148E+12",(08/08/2023)_14/08/35,-51,-51,-51,-49,-26,-39,-46,-40
"1,69148E+12",(08/08/2023)_14/09/11,-50,-51,-51,-50,-25,-40,-46,-42
"1,69148E+12",(08/08/2023)_14/08/04,-51,-50,-50,-50,-24,-39,-46,-42
"1,69148E+12",(08/08/2023)_14/09/11,-50,-51,-51,-50,-25,-40,-46,-42
"1,69148E+12",(08/08/2023)_14/06/47,-51,-51,-51,-52,-25,-39,-48,-42
"1,69148E+12",(08/08/2023)_14/06/24,-51,-60,-51,-52,-24,-39,-46,-43
"1,69148E+12",(08/08/2023)_14/06/59,-50,-50,-51,-50,-24,-39,-46,-43
"1,69148E+12",(08/08/2023)_14/09/23,-52,-50,-54,-48,-25,-40,-45,-44
"1,69148E+12",(08/08/2023)_14/07/33,-51,-54,-51,-50,-26,-38,-46,-40
"1,69148E+12",(08/08/2023)_14/09/14,-49,-50,-51,-50,-26,-39,-48,-42
"1,69148E+12",(08/08/2023)_14/05/54,-47,-49,-48,-49,-26,-39,-43,-42
"1,69148E+12",(08/08/2023)_14/07/51,-51,-56,-51,-50,-26,-39,-46,-40
"1,69148E+12",(08/08/2023)_14/07/45,-51,-51,-50,-50,-25,-38,-47,-39
"1,69148E+12",(08/08/2023)_14/09/08,-51,-49,-51,-52,-27,-39,-47,-43
"1,69148E+12",(08/08/2023)_14/07/45,-51,-51,-50,-50,-25,-38,-47,-39
"1,69148E+12",(08/08/2023)_14/06/59,-50,-50,-51,-50,-24,-39,-46,-43
"1,69148E+12",(08/08/2023)_14/09/27,-50,-53,-50,-40,-24,-41,-45,-45
"1,69148E+12",(08/08/2023)_14/06/59,-50,-50,-51,-50,-24,-39,-46,-43
"1,69148E+12",(08/08/2023)_14/07/31,-50,-49,-51,-50,-26,-39,-47,-39
"1,69148E+12",(08/08/2023)_14/08/11,-51,-51,-52,-49,-25,-39,-47,-41
"1,69148E+12",(08/08/2023)_14/09/54,-50,-54,-52,-41,-28,-38,-41,-44
"1,69148E+12",(08/08/2023)_14/06/41,-50,-51,-51,-52,-26,-39,-45,-43
"1,69148E+12",(08/08/2023)_14/08/44,-51,-49,-52,-49,-25,-39,-47,-41
"1,69148E+12",(08/08/2023)_14/07/45,-51,-51,-50,-50,-25,-38,-47,-39
"1,69148E+12",(08/08/2023)_14/08/01,-50,-49,-51,-50,-25,-39,-46,-40
"1,69148E+12",(08/08/2023)_14/07/22,-50,-49,-51,-50,-25,-40,-45,-40
"1,69148E+12",(08/08/2023)_14/05/51,-52,-52,-50,-52,-25,-40,-42,-40
"1,69148E+12",(08/08/2023)_14/06/47,-51,-51,-51,-52,-25,-39,-48,-42
"1,69148E+12",(08/08/2023)_14/09/11,-50,-51,-51,-50,-25,-40,-46,-42
"1,69148E+12",(08/08/2023)_14/07/55,-51,-52,-51,-49,-26,-40,-47,-40
